,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,True_Shooting_Percentage_Season,Effective_FG_Percentage_Season,TEAM_PPG,TEAM_AVG_PACE,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,BestGuardScoringAvg,StephScoringAVGvsOPP,PTS
494,29.858974358974358,9.064102564102564,11.115384615384615,5.051282051282051,0.45213379469434833,0.6612156829344462,0.6264294790343075,114.76543209876543,100.2625925925926,18.012345679012345,0.47840986977381766,13.25925925925926,0.3649906890130354,9.802469135802468,19.395061728395063,22.238095238095237,46
495,,,,,,,,,,,,,,,,20.6,26
496,26.0,8.0,10.0,6.0,0.3,0.6235011990407674,0.5833333333333334,100.0,100.5,21.0,0.47619047619047616,9.0,0.3333333333333333,16.0,22.0,28.6,23
497,24.5,8.5,10.0,5.0,0.35,0.5868263473053892,0.5540540540540541,111.0,104.75,34.5,0.4782608695652174,10.5,0.19047619047619047,16.0,31.5,20.333333333333332,28
498,25.666666666666668,8.666666666666666,9.333333333333334,5.0,0.42857142857142855,0.6298568507157464,0.5925925925925926,109.33333333333333,103.66666666666667,25.666666666666668,0.45454545454545453,13.333333333333334,0.25,12.0,22.333333333333332,26.82608695652174,28
499,26.25,9.25,9.5,4.75,0.4473684210526316,0.6248140434394525,0.5933333333333334,113.75,104.125,27.5,0.44545454545454544,15.5,0.25806451612903225,8.75,17.25,24.791666666666668,21
500,25.2,9.0,8.8,5.4,0.4318181818181818,0.6187085686226369,0.5786516853932584,115.4,103.0,20.0,0.47,11.4,0.38596491228070173,11.6,26.6,21.40909090909091,13
501,23.166666666666668,8.666666666666666,9.0,5.0,0.35185185185185186,0.577962577962578,0.5330188679245284,112.33333333333333,103.0,17.166666666666668,0.5242718446601942,10.333333333333334,0.3870967741935484,8.0,22.5,28.09090909090909,46
502,26.428571428571427,8.714285714285714,10.142857142857142,4.571428571428571,0.4507042253521127,0.6283967391304348,0.5984848484848485,112.85714285714286,102.71428571428571,17.714285714285715,0.4596774193548387,11.428571428571429,0.375,10.0,24.285714285714285,21.136363636363637,24
503,26.125,8.125,9.875,4.5,0.45569620253164556,0.6486654252017381,0.6180555555555556,113.25,101.125,23.285714285714285,0.49693251533742333,8.857142857142858,0.2903225806451613,7.0,19.571428571428573,20.761904761904763,33
504,26.88888888888889,7.666666666666667,10.222222222222221,4.666666666666667,0.4673913043478261,0.6686930091185411,0.6366459627329193,114.55555555555556,100.94444444444444,26.9,0.46096654275092935,12.7,0.4094488188976378,11.7,25.8,20.607142857142858,30
505,27.2,7.7,10.1,4.9,0.4752475247524752,0.6756924605639051,0.6404494382022472,116.4,101.6,19.5,0.4358974358974359,11.4,0.38596491228070173,8.8,22.7,30.0,35
506,27.90909090909091,7.909090909090909,10.0,5.636363636363637,0.4636363636363636,0.6778538308677412,0.6370558375634517,117.36363636363636,101.63636363636364,21.181818181818183,0.4334763948497854,13.090909090909092,0.375,10.272727272727273,20.90909090909091,20.5,16
507,26.916666666666668,8.083333333333334,10.0,5.166666666666667,0.44166666666666665,0.6553053357679043,0.6152073732718893,116.25,101.20833333333333,17.0,0.45454545454545453,12.181818181818182,0.29850746268656714,7.7272727272727275,17.727272727272727,20.083333333333332,20
508,26.384615384615383,8.23076923076923,10.076923076923077,5.153846153846154,0.4122137404580153,0.6355971462985268,0.592436974789916,116.84615384615384,101.07692307692308,22.928571428571427,0.46417445482866043,13.714285714285714,0.3385416666666667,9.857142857142858,18.714285714285715,20.5,22
509,26.071428571428573,8.0,9.785714285714286,5.357142857142857,0.40875912408759124,0.6411945542380325,0.5943775100401606,117.07142857142857,101.17857142857143,19.8,0.49158249158249157,11.4,0.34502923976608185,7.8,21.266666666666666,21.043478260869566,31
510,26.4,7.866666666666666,9.933333333333334,5.133333333333334,0.4228187919463087,0.6522276208515194,0.6086142322097379,119.2,101.46666666666667,19.4375,0.4983922829581994,11.75,0.3776595744680851,7.8125,21.875,21.458333333333332,24
511,26.25,7.8125,9.9375,5.0625,0.42138364779874216,0.6512132723466935,0.6073943661971831,118.5625,101.46875,17.533333333333335,0.4790874524714829,10.866666666666667,0.34355828220858897,8.533333333333333,18.533333333333335,23.4,34
512,26.705882352941178,8.0,9.823529411764707,5.0,0.4251497005988024,0.6610848198034219,0.6188118811881188,118.3529411764706,101.11764705882354,23.11764705882353,0.4707379134860051,10.176470588235293,0.32947976878612717,6.823529411764706,19.58823529411765,18.5,25
513,26.61111111111111,7.888888888888889,9.88888888888889,5.333333333333333,0.42134831460674155,0.6550875273522976,0.6109375,117.61111111111111,101.11111111111111,21.055555555555557,0.48021108179419525,12.61111111111111,0.3568281938325991,9.61111111111111,19.11111111111111,21.6,28
514,26.68421052631579,7.947368421052632,10.052631578947368,5.368421052631579,0.41361256544502617,0.6492508643872456,0.6038011695906432,118.10526315789474,101.08157894736841,25.36842105263158,0.46473029045643155,12.0,0.4166666666666667,10.473684210526315,24.42105263157895,20.93103448275862,31
515,26.9,7.95,9.9,5.4,0.42424242424242425,0.6588292921871173,0.6134453781512605,119.1,101.0775,22.1,0.4660633484162896,14.5,0.3275862068965517,10.45,18.6,20.615384615384617,13
516,26.238095238095237,7.714285714285714,9.761904761904763,5.333333333333333,0.4195121951219512,0.6556401713469776,0.6103542234332425,120.19047619047619,101.28809523809525,22.90909090909091,0.4146825396825397,10.863636363636363,0.3807531380753138,10.272727272727273,20.363636363636363,21.11111111111111,19
517,25.90909090909091,7.7272727272727275,9.681818181818182,5.318181818181818,0.40375586854460094,0.6498318417602462,0.6031331592689295,119.95454545454545,101.13863636363637,22.17391304347826,0.4372549019607843,10.0,0.3695652173913043,7.434782608695652,19.956521739130434,22.136363636363637,26
518,25.91304347826087,7.695652173913044,9.652173913043478,5.478260869565218,0.4009009009009009,0.6494497112346083,0.600250626566416,119.34782608695652,101.02391304347827,17.875,0.4358974358974359,12.208333333333334,0.37542662116040953,9.875,19.833333333333332,23.318181818181817,17
519,25.541666666666668,7.5,9.708333333333334,5.5,0.3948497854077253,0.644313643052344,0.5932203389830508,118.08333333333333,100.83541666666667,17.347826086956523,0.49373433583959897,10.043478260869565,0.3722943722943723,7.739130434782608,19.565217391304348,23.904761904761905,22
520,25.4,7.52,9.52,5.6,0.3949579831932773,0.6446700507614214,0.5915492957746479,118.0,100.72200000000001,20.68,0.504835589941973,14.8,0.372972972972973,7.36,22.2,29.583333333333332,30
521,25.576923076923077,7.769230769230769,9.5,5.538461538461538,0.4008097165991903,0.6426362582141477,0.5913140311804009,117.8076923076923,100.75192307692308,20.32,0.4547244094488189,10.72,0.3619402985074627,8.0,20.92,25.166666666666668,8
522,24.925925925925927,7.703703703703703,9.444444444444445,5.333333333333333,0.396078431372549,0.63323296951449,0.58207343412527,117.25925925925925,100.7425925925926,23.035714285714285,0.4325581395348837,12.607142857142858,0.32577903682719545,10.785714285714286,20.928571428571427,26.875,19
523,24.714285714285715,7.535714285714286,9.392857142857142,5.214285714285714,0.40304182509505704,0.6367902825066716,0.5864978902953587,117.89285714285714,100.69821428571429,21.535714285714285,0.4228855721393035,10.535714285714286,0.36610169491525424,8.035714285714286,20.035714285714285,22.304347826086957,25
524,24.724137931034484,7.586206896551724,9.379310344827585,5.206896551724138,0.40441176470588236,0.635948379085547,0.5853658536585366,117.41379310344827,100.58793103448276,23.296296296296298,0.47217806041335453,13.222222222222221,0.36694677871148457,7.814814814814815,20.185185185185187,26.125,15
525,24.4,7.533333333333333,9.5,5.033333333333333,0.39649122807017545,0.628083572868849,0.5782778864970646,117.4,100.90166666666667,20.677419354838708,0.4789391575663027,10.67741935483871,0.3504531722054381,8.516129032258064,18.677419354838708,21.583333333333332,25
